,tollgate_id,vehicle_model_0-2_count_lag_1,vehicle_model_3-5_count_lag_1,vehicle_model_6-7_count_lag_1,has_etc_0_count_lag_1,has_etc_1_count_lag_1,vehicle_type_0_count_lag_1,vehicle_type_1_count_lag_1,volume_lag_1,vehicle_model_0-2_count_lag_2,vehicle_model_3-5_count_lag_2,vehicle_model_6-7_count_lag_2,has_etc_0_count_lag_2,has_etc_1_count_lag_2,vehicle_type_0_count_lag_2,vehicle_type_1_count_lag_2,volume_lag_2,vehicle_model_0-2_count_mean,vehicle_model_3-5_count_mean,vehicle_model_6-7_count_mean,has_etc_0_count_mean,has_etc_1_count_mean,vehicle_type_0_count_mean,vehicle_type_1_count_mean,volume_mean,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,other_tollgate_1_has_etc_0_count_lag_1,other_tollgate_1_has_etc_1_count_lag_1,other_tollgate_1_volume_mean,Month,Day,Day_of_week,Is_weekend,Hour,Minute,target_1,target_2,target_3,target_4,target_5,target_6
2016-09-19 04:00:00,1,17,3,0,18,2,7,13,20,11,3,0,14,0,1,13,14,9.333333333333334,2.0,0.0,10.833333333333334,0.5,3.6666666666666665,7.666666666666667,11.333333333333334,1008.0,1012.9666666666666,14.0,5.066666666666666,25.2,63.333333333333336,0.0,9,1,4.5,9,19,0,False,4,0,18,17,23,28,24,34
2016-09-19 04:20:00,3,3,1,0,4,0,2,2,4,5,5,0,9,1,4,6,10,3.0,1.3333333333333333,0.0,3.6666666666666665,0.6666666666666666,2.3333333333333335,2.0,4.333333333333333,1007.9,1012.8555555555555,13.666666666666666,5.2555555555555555,25.466666666666665,62.111111111111114,0.0,18,0,13.166666666666666,9,19,0,False,4,20,7,3,11,7,13,30
2016-09-19 04:20:00,1,18,0,0,18,0,8,10,18,17,3,0,18,2,7,13,20,11.5,1.6666666666666667,0.0,12.833333333333334,0.3333333333333333,4.666666666666667,8.5,13.166666666666666,1007.9,1012.8555555555555,13.666666666666666,5.2555555555555555,25.466666666666665,62.111111111111114,0.0,4,0,4.333333333333333,9,19,0,False,4,20,17,23,28,24,34,39
2016-09-19 04:40:00,1,13,4,0,15,2,7,10,17,18,0,0,18,0,8,10,18,12.833333333333334,2.0,0.0,14.166666666666666,0.6666666666666666,5.5,9.333333333333334,14.833333333333334,1007.8,1012.7444444444444,13.333333333333334,5.444444444444445,25.733333333333334,60.888888888888886,0.0,5,2,4.833333333333333,9,19,0,False,4,40,23,28,24,34,39,57
2016-09-19 04:40:00,3,6,1,0,5,2,4,3,7,3,1,0,4,0,2,2,4,3.5,1.3333333333333333,0.0,4.166666666666667,0.6666666666666666,2.5,2.3333333333333335,4.833333333333333,1007.8,1012.7444444444444,13.333333333333334,5.444444444444445,25.733333333333334,60.888888888888886,0.0,15,2,14.833333333333334,9,19,0,False,4,40,3,11,7,13,30,38
2016-09-19 05:00:00,1,20,3,0,23,0,8,15,23,13,4,0,15,2,7,10,17,14.666666666666666,2.3333333333333335,0.0,16.333333333333332,0.6666666666666666,5.833333333333333,11.166666666666666,17.0,1007.6999999999999,1012.6333333333333,13.0,5.633333333333334,26.0,59.666666666666664,0.0,3,0,5.333333333333333,9,19,0,False,5,0,28,24,34,39,57,72
2016-09-19 05:00:00,3,0,3,0,3,0,0,3,3,6,1,0,5,2,4,3,7,3.5,1.8333333333333333,0.0,4.666666666666667,0.6666666666666666,2.5,2.8333333333333335,5.333333333333333,1007.6999999999999,1012.6333333333333,13.0,5.633333333333334,26.0,59.666666666666664,0.0,23,0,17.0,9,19,0,False,5,0,11,7,13,30,38,65
2016-09-19 05:20:00,3,7,4,0,10,1,4,7,11,0,3,0,3,0,0,3,3,3.8333333333333335,2.5,0.0,5.666666666666667,0.6666666666666666,2.6666666666666665,3.6666666666666665,6.333333333333333,1007.6,1012.5222222222221,12.666666666666668,5.822222222222223,26.266666666666666,58.44444444444444,0.0,25,3,20.0,9,19,0,False,5,20,7,13,30,38,65,67
2016-09-19 05:20:00,1,26,2,0,25,3,16,12,28,20,3,0,23,0,8,15,23,17.5,2.5,0.0,18.833333333333332,1.1666666666666667,7.833333333333333,12.166666666666666,20.0,1007.6,1012.5222222222221,12.666666666666668,5.822222222222223,26.266666666666666,58.44444444444444,0.0,10,1,6.333333333333333,9,19,0,False,5,20,24,34,39,57,72,70
2016-09-19 05:40:00,3,7,0,0,7,0,5,2,7,7,4,0,10,1,4,7,11,4.666666666666667,2.3333333333333335,0.0,6.333333333333333,0.6666666666666666,3.1666666666666665,3.8333333333333335,7.0,1007.5,1012.411111111111,12.333333333333334,6.011111111111111,26.533333333333335,57.22222222222222,0.0,23,1,21.666666666666668,9,19,0,False,5,40,13,30,38,65,67,71
2016-09-19 05:40:00,1,22,2,0,23,1,7,17,24,26,2,0,25,3,16,12,28,19.333333333333332,2.3333333333333335,0.0,20.333333333333332,1.3333333333333333,8.833333333333334,12.833333333333334,21.666666666666668,1007.5,1012.411111111111,12.333333333333334,6.011111111111111,26.533333333333335,57.22222222222222,0.0,7,0,7.0,9,19,0,False,5,40,34,39,57,72,70,83
2016-09-19 06:00:00,1,28,6,0,31,3,16,18,34,22,2,0,23,1,7,17,24,21.166666666666668,2.8333333333333335,0.0,22.5,1.5,10.333333333333334,13.666666666666666,24.0,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,10,3,7.5,9,19,0,False,6,0,39,57,72,70,83,118
2016-09-19 06:00:00,3,11,2,0,10,3,8,5,13,7,0,0,7,0,5,2,7,5.666666666666667,1.8333333333333333,0.0,6.5,1.0,3.8333333333333335,3.6666666666666665,7.5,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0,31,3,24.0,9,19,0,False,6,0,30,38,65,67,71,103
2016-09-19 06:20:00,1,33,4,2,33,6,18,21,39,28,6,0,31,3,16,18,34,23.666666666666668,3.5,0.3333333333333333,25.0,2.5,12.0,15.5,27.5,1007.5,1012.411111111111,49.666666666666664,6.1000000000000005,26.46666666666667,57.77777777777778,0.011111111111111112,25,5,11.833333333333334,9,19,0,False,6,20,57,72,70,83,118,123
2016-09-19 06:20:00,3,25,3,2,25,5,14,16,30,11,2,0,10,3,8,5,13,9.333333333333334,2.1666666666666665,0.3333333333333333,10.0,1.8333333333333333,5.833333333333333,6.0,11.833333333333334,1007.5,1012.411111111111,49.666666666666664,6.1000000000000005,26.46666666666667,57.77777777777778,0.011111111111111112,33,6,27.5,9,19,0,False,6,20,38,65,67,71,103,118
2016-09-19 06:40:00,3,31,6,1,29,9,19,19,38,25,3,2,25,5,14,16,30,13.5,3.0,0.5,14.0,3.0,8.333333333333334,8.666666666666666,17.0,1007.6,1012.5222222222221,87.33333333333333,6.0,26.133333333333333,59.55555555555556,0.022222222222222223,49,8,34.166666666666664,9,19,0,False,6,40,65,67,71,103,118,168
2016-09-19 06:40:00,1,53,4,0,49,8,35,22,57,33,4,2,33,6,18,21,39,30.333333333333332,3.5,0.3333333333333333,30.666666666666668,3.5,16.666666666666668,17.5,34.166666666666664,1007.6,1012.5222222222221,87.33333333333333,6.0,26.133333333333333,59.55555555555556,0.022222222222222223,29,9,17.0,9,19,0,False,6,40,72,70,83,118,123,119
2016-09-19 07:00:00,1,66,3,3,61,11,39,33,72,53,4,0,49,8,35,22,57,38.0,3.5,0.8333333333333334,37.0,5.333333333333333,21.833333333333332,20.5,42.333333333333336,1007.6999999999999,1012.6333333333333,125.0,5.9,25.8,61.333333333333336,0.03333333333333333,49,16,27.333333333333332,9,19,0,False,7,0,70,83,118,123,119,116
2016-09-19 07:00:00,3,63,2,0,49,16,51,14,65,31,6,1,29,9,19,19,38,24.0,2.8333333333333335,0.5,21.666666666666668,5.666666666666667,16.833333333333332,10.5,27.333333333333332,1007.6999999999999,1012.6333333333333,125.0,5.9,25.8,61.333333333333336,0.03333333333333333,61,11,42.333333333333336,9,19,0,False,7,0,67,71,103,118,168,161
2016-09-19 07:20:00,3,63,4,0,52,15,54,13,67,63,2,0,49,16,51,14,65,33.333333333333336,2.8333333333333335,0.5,28.666666666666668,8.0,25.166666666666668,11.5,36.666666666666664,1007.8,1012.7444444444444,162.66666666666666,5.8,25.46666666666667,63.111111111111114,0.044444444444444446,56,14,49.333333333333336,9,19,0,False,7,20,71,103,118,168,161,145
2016-09-19 07:20:00,1,66,4,0,56,14,51,19,70,66,3,3,61,11,39,33,72,44.666666666666664,3.8333333333333335,0.8333333333333334,42.166666666666664,7.166666666666667,27.666666666666668,21.666666666666668,49.333333333333336,1007.8,1012.7444444444444,162.66666666666666,5.8,25.46666666666667,63.111111111111114,0.044444444444444446,52,15,36.666666666666664,9,19,0,False,7,20,83,118,123,119,116,120
2016-09-19 07:40:00,1,76,7,0,64,19,62,21,83,66,4,0,56,14,51,19,70,53.666666666666664,4.666666666666667,0.8333333333333334,49.0,10.166666666666666,36.833333333333336,22.333333333333332,59.166666666666664,1007.9,1012.8555555555555,200.33333333333331,5.7,25.133333333333333,64.88888888888889,0.05555555555555556,50,21,47.333333333333336,9,19,0,False,7,40,118,123,119,116,120,151
2016-09-19 07:40:00,3,66,4,1,50,21,57,14,71,63,4,0,52,15,54,13,67,43.166666666666664,3.5,0.6666666666666666,35.833333333333336,11.5,33.833333333333336,13.5,47.333333333333336,1007.9,1012.8555555555555,200.33333333333331,5.7,25.133333333333333,64.88888888888889,0.05555555555555556,64,19,59.166666666666664,9,19,0,False,7,40,103,118,168,161,145,125
2016-09-19 08:00:00,1,111,7,0,83,35,99,19,118,76,7,0,64,19,62,21,83,67.5,4.833333333333333,0.8333333333333334,57.666666666666664,15.5,50.666666666666664,22.5,73.16666666666667,1008.0,1012.9666666666666,238.0,5.6,24.8,66.66666666666667,0.06666666666666667,70,33,62.333333333333336,9,19,0,False,8,0,123,119,116,120,151,131
2016-09-19 08:00:00,3,100,3,0,70,33,92,11,103,66,4,1,50,21,57,14,71,58.0,3.6666666666666665,0.6666666666666666,45.833333333333336,16.5,47.833333333333336,14.5,62.333333333333336,1008.0,1012.9666666666666,238.0,5.6,24.8,66.66666666666667,0.06666666666666667,83,35,73.16666666666667,9,19,0,False,8,0,118,168,161,145,125,116
2016-09-19 08:20:00,1,118,5,0,91,32,106,17,123,111,7,0,83,35,99,19,118,81.66666666666667,5.0,0.5,67.33333333333333,19.833333333333332,65.33333333333333,21.833333333333332,87.16666666666667,1008.0999999999999,1013.0777777777778,275.66666666666663,5.5,24.46666666666667,68.44444444444444,0.07777777777777778,70,48,77.0,9,19,0,False,8,20,119,116,120,151,131,101
2016-09-19 08:20:00,3,116,2,0,70,48,111,7,118,100,3,0,70,33,92,11,103,73.16666666666667,3.5,0.3333333333333333,53.333333333333336,23.666666666666668,64.0,13.0,77.0,1008.0999999999999,1013.0777777777778,275.66666666666663,5.5,24.46666666666667,68.44444444444444,0.07777777777777778,91,32,87.16666666666667,9,19,0,False,8,20,168,161,145,125,116,117
2016-09-19 08:40:00,1,111,8,0,94,25,105,14,119,118,5,0,91,32,106,17,123,91.33333333333333,5.666666666666667,0.5,74.83333333333333,22.666666666666668,77.0,20.5,97.5,1008.1999999999999,1013.1888888888889,313.3333333333333,5.4,24.133333333333333,70.22222222222223,0.08888888888888889,111,57,98.66666666666667,9,19,0,False,8,40,116,120,151,131,101,105
2016-09-19 08:40:00,3,151,17,0,111,57,147,21,168,116,2,0,70,48,111,7,118,93.16666666666667,5.333333333333333,0.16666666666666666,67.0,31.666666666666668,85.33333333333333,13.333333333333334,98.66666666666667,1008.1999999999999,1013.1888888888889,313.3333333333333,5.4,24.133333333333333,70.22222222222223,0.08888888888888889,94,25,97.5,9,19,0,False,8,40,161,145,125,116,117,87
2016-09-19 09:00:00,1,109,7,0,90,26,96,20,116,111,8,0,94,25,105,14,119,98.5,6.333333333333333,0.0,79.66666666666667,25.166666666666668,86.5,18.333333333333332,104.83333333333333,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,97,64,114.66666666666667,9,19,0,False,9,0,120,151,131,101,105,102
2016-09-19 09:00:00,3,152,8,1,97,64,137,24,161,151,17,0,111,57,147,21,168,108.0,6.333333333333333,0.3333333333333333,75.0,39.666666666666664,99.66666666666667,15.0,114.66666666666667,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,90,26,104.83333333333333,9,19,0,False,9,0,145,125,116,117,87,85
2016-09-19 09:20:00,3,140,5,0,101,44,126,19,145,152,8,1,97,64,137,24,161,120.83333333333333,6.5,0.3333333333333333,83.16666666666667,44.5,111.66666666666667,16.0,127.66666666666667,1008.5333333333333,1013.5333333333333,345.55555555555554,4.966666666666667,23.46666666666667,74.22222222222223,0.2111111111111111,86,34,113.16666666666667,9,19,0,False,9,20,125,116,117,87,85,73
2016-09-19 09:20:00,1,117,2,1,86,34,99,21,120,109,7,0,90,26,96,20,116,107.0,6.0,0.16666666666666666,84.66666666666667,28.5,94.5,18.666666666666668,113.16666666666667,1008.5333333333333,1013.5333333333333,345.55555555555554,4.966666666666667,23.46666666666667,74.22222222222223,0.2111111111111111,101,44,127.66666666666667,9,19,0,False,9,20,151,131,101,105,102,86
2016-09-19 09:40:00,1,145,6,0,117,34,119,32,151,117,2,1,86,34,99,21,120,118.5,5.833333333333333,0.16666666666666666,93.5,31.0,104.0,20.5,124.5,1008.7666666666667,1013.7666666666667,340.1111111111111,4.633333333333333,23.133333333333333,76.44444444444444,0.3222222222222222,96,29,136.66666666666666,9,19,0,False,9,40,131,101,105,102,86,76
2016-09-19 09:40:00,3,118,7,0,96,29,113,12,125,140,5,0,101,44,126,19,145,129.5,7.0,0.16666666666666666,90.83333333333333,45.833333333333336,121.0,15.666666666666666,136.66666666666666,1008.7666666666667,1013.7666666666667,340.1111111111111,4.633333333333333,23.133333333333333,76.44444444444444,0.3222222222222222,117,34,124.5,9,19,0,False,9,40,116,117,87,85,73,72
2016-09-19 10:00:00,3,111,4,1,91,25,99,17,116,118,7,0,96,29,113,12,125,131.33333333333334,7.166666666666667,0.3333333333333333,94.33333333333333,44.5,122.16666666666667,16.666666666666668,138.83333333333334,1009.0,1014.0,334.6666666666667,4.3,22.8,78.66666666666667,0.43333333333333335,104,27,126.66666666666667,9,19,0,False,10,0,117,87,85,73,72,73
2016-09-19 10:00:00,1,124,5,2,104,27,94,37,131,145,6,0,117,34,119,32,151,120.66666666666667,5.5,0.5,97.0,29.666666666666668,103.16666666666667,23.5,126.66666666666667,1009.0,1014.0,334.6666666666667,4.3,22.8,78.66666666666667,0.43333333333333335,91,25,138.83333333333334,9,19,0,False,10,0,101,105,102,86,76,100
2016-09-19 10:20:00,3,108,9,0,91,26,94,23,117,111,4,1,91,25,99,17,116,130.0,8.333333333333334,0.3333333333333333,97.83333333333333,40.833333333333336,119.33333333333333,19.333333333333332,138.66666666666666,1009.2333333333333,1014.2333333333333,329.22222222222223,3.966666666666667,22.46666666666667,80.88888888888889,0.5444444444444444,86,15,123.0,9,19,0,False,10,20,87,85,73,72,73,94
2016-09-19 10:20:00,1,95,6,0,86,15,67,34,101,124,5,2,104,27,94,37,131,116.83333333333333,5.666666666666667,0.5,96.16666666666667,26.833333333333332,96.66666666666667,26.333333333333332,123.0,1009.2333333333333,1014.2333333333333,329.22222222222223,3.966666666666667,22.46666666666667,80.88888888888889,0.5444444444444444,91,26,138.66666666666666,9,19,0,False,10,20,105,102,86,76,100,99
2016-09-19 10:40:00,1,99,6,0,85,20,74,31,105,95,6,0,86,15,67,34,101,114.83333333333333,5.333333333333333,0.5,94.66666666666667,26.0,91.5,29.166666666666668,120.66666666666667,1009.4666666666666,1014.4666666666666,323.77777777777777,3.6333333333333333,22.133333333333333,83.11111111111111,0.6555555555555556,70,17,125.16666666666667,9,19,0,False,10,40,102,86,76,100,99,70
2016-09-19 10:40:00,3,80,7,0,70,17,69,18,87,108,9,0,91,26,94,23,117,118.16666666666667,6.666666666666667,0.3333333333333333,91.0,34.166666666666664,106.33333333333333,18.833333333333332,125.16666666666667,1009.4666666666666,1014.4666666666666,323.77777777777777,3.6333333333333333,22.133333333333333,83.11111111111111,0.6555555555555556,85,20,120.66666666666667,9,19,0,False,10,40,85,73,72,73,94,86
2016-09-19 11:00:00,3,80,5,0,66,19,71,14,85,80,7,0,70,17,69,18,87,106.16666666666667,6.166666666666667,0.16666666666666666,85.83333333333333,26.666666666666668,95.33333333333333,17.166666666666668,112.5,1009.6999999999999,1014.6999999999999,318.3333333333333,3.3,21.8,85.33333333333333,0.7666666666666666,82,20,118.33333333333333,9,19,0,False,11,0,73,72,73,94,86,94
2016-09-19 11:00:00,1,98,3,1,82,20,72,30,102,99,6,0,85,20,74,31,105,113.0,4.666666666666667,0.6666666666666666,93.33333333333333,25.0,87.5,30.833333333333332,118.33333333333333,1009.6999999999999,1014.6999999999999,318.3333333333333,3.3,21.8,85.33333333333333,0.7666666666666666,66,19,112.5,9,19,0,False,11,0,86,76,100,99,70,79
2016-09-19 11:20:00,1,79,7,0,62,24,62,24,86,98,3,1,82,20,72,30,102,106.66666666666667,5.5,0.5,89.33333333333333,23.333333333333332,81.33333333333333,31.333333333333332,112.66666666666667,1009.9333333333333,1014.9333333333333,312.8888888888889,2.966666666666667,21.46666666666667,87.55555555555556,0.8777777777777777,53,20,100.5,9,19,0,False,11,20,76,100,99,70,79,100
2016-09-19 11:20:00,3,65,7,1,53,20,59,14,73,80,5,0,66,19,71,14,85,93.66666666666667,6.5,0.3333333333333333,77.83333333333333,22.666666666666668,84.16666666666667,16.333333333333332,100.5,1009.9333333333333,1014.9333333333333,312.8888888888889,2.966666666666667,21.46666666666667,87.55555555555556,0.8777777777777777,62,24,112.66666666666667,9,19,0,False,11,20,72,73,94,86,94,91
2016-09-19 11:40:00,3,65,7,0,50,22,58,14,72,65,7,1,53,20,59,14,73,84.83333333333333,6.5,0.3333333333333333,70.16666666666667,21.5,75.0,16.666666666666668,91.66666666666667,1010.1666666666666,1015.1666666666666,307.44444444444446,2.6333333333333333,21.133333333333333,89.77777777777777,0.9888888888888888,59,17,100.16666666666667,9,19,0,False,11,40,73,94,86,94,91,110
2016-09-19 11:40:00,1,73,3,0,59,17,57,19,76,79,7,0,62,24,62,24,86,94.66666666666667,5.0,0.5,79.66666666666667,20.5,71.0,29.166666666666668,100.16666666666667,1010.1666666666666,1015.1666666666666,307.44444444444446,2.6333333333333333,21.133333333333333,89.77777777777777,0.9888888888888888,50,22,91.66666666666667,9,19,0,False,11,40,100,99,70,79,100,108
2016-09-19 12:00:00,3,67,6,0,55,18,58,15,73,65,7,0,50,22,58,14,72,77.5,6.833333333333333,0.16666666666666666,64.16666666666667,20.333333333333332,68.16666666666667,16.333333333333332,84.5,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,78,22,95.0,9,19,0,False,12,0,94,86,94,91,110,100
2016-09-19 12:00:00,1,87,13,0,78,22,70,30,100,73,3,0,59,17,57,19,76,88.5,6.333333333333333,0.16666666666666666,75.33333333333333,19.666666666666668,67.0,28.0,95.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,55,18,84.5,9,19,0,False,12,0,99,70,79,100,108,106
2016-09-19 12:20:00,1,94,5,0,79,20,67,32,99,87,13,0,78,22,70,30,100,88.33333333333333,6.166666666666667,0.16666666666666666,74.16666666666667,20.5,67.0,27.666666666666668,94.66666666666667,1010.4777777777778,1015.4777777777778,270.44444444444446,2.333333333333333,20.866666666666667,90.66666666666667,0.9777777777777779,70,24,80.66666666666667,9,19,0,False,12,20,70,79,100,108,106,101
2016-09-19 12:20:00,3,89,5,0,70,24,80,14,94,67,6,0,55,18,58,15,73,74.33333333333333,6.166666666666667,0.16666666666666666,60.666666666666664,20.0,65.83333333333333,14.833333333333334,80.66666666666667,1010.4777777777778,1015.4777777777778,270.44444444444446,2.333333333333333,20.866666666666667,90.66666666666667,0.9777777777777779,79,20,94.66666666666667,9,19,0,False,12,20,86,94,91,110,100,95
2016-09-19 12:40:00,3,78,8,0,66,20,66,20,86,89,5,0,70,24,80,14,94,74.0,6.333333333333333,0.16666666666666666,60.0,20.5,65.33333333333333,15.166666666666666,80.5,1010.5555555555555,1015.5555555555555,238.88888888888889,2.3666666666666667,20.933333333333334,89.33333333333333,0.8555555555555556,56,14,88.83333333333333,9,19,0,False,12,40,94,91,110,100,95,99
2016-09-19 12:40:00,1,67,3,0,56,14,45,25,70,94,5,0,79,20,67,32,99,83.0,5.666666666666667,0.16666666666666666,69.33333333333333,19.5,62.166666666666664,26.666666666666668,88.83333333333333,1010.5555555555555,1015.5555555555555,238.88888888888889,2.3666666666666667,20.933333333333334,89.33333333333333,0.8555555555555556,66,20,80.5,9,19,0,False,12,40,79,100,108,106,101,100
2016-09-19 13:00:00,1,68,11,0,64,15,53,26,79,67,3,0,56,14,45,25,70,78.0,7.0,0.0,66.33333333333333,18.666666666666668,59.0,26.0,85.0,1010.6333333333333,1015.6333333333333,207.33333333333331,2.4,21.0,88.0,0.7333333333333334,72,22,82.0,9,19,0,False,13,0,100,108,106,101,100,101
2016-09-19 13:00:00,3,88,6,0,72,22,77,17,94,78,8,0,66,20,66,20,86,75.33333333333333,6.5,0.16666666666666666,61.0,21.0,66.33333333333333,15.666666666666666,82.0,1010.6333333333333,1015.6333333333333,207.33333333333331,2.4,21.0,88.0,0.7333333333333334,64,15,85.0,9,19,0,False,13,0,91,110,100,95,99,93
2016-09-19 13:20:00,1,93,7,0,85,15,68,32,100,68,11,0,64,15,53,26,79,80.33333333333333,7.0,0.0,70.16666666666667,17.166666666666668,60.0,27.333333333333332,87.33333333333333,1010.7111111111111,1015.7111111111111,175.77777777777777,2.433333333333333,21.066666666666666,86.66666666666667,0.6111111111111112,69,22,85.0,9,19,0,False,13,20,108,106,101,100,101,77
2016-09-19 13:20:00,3,87,4,0,69,22,77,14,91,88,6,0,72,22,77,17,94,79.0,6.0,0.0,63.666666666666664,21.333333333333332,69.33333333333333,15.666666666666666,85.0,1010.7111111111111,1015.7111111111111,175.77777777777777,2.433333333333333,21.066666666666666,86.66666666666667,0.6111111111111112,85,15,87.33333333333333,9,19,0,False,13,20,110,100,95,99,93,75
